Position,Company,Location,Date_published,URL,Description,SKILLS,Home_URL,Site_Name,MIN_SALARY,MAX_SALARY,MIDPOINT_SALARY,CURRENCY,SALLARY_PERIOD,seniority,categories,modality,activate,english,remote,english_level,num_offers,uid
SENIOR SOFTWARE ENGINEER FULL STACK,COPIA AUTOMATION,USAA,2022-02-28 15:00:12+00:00,https://remoteok.com/remote-jobs/109304-remote-senior-software-engineer-full-stack-copia-automation,"Copia Automation is hiring a Remote Senior Software Engineer Full Stack Who you are You´re interested in being one of the foundational members of our engineering team. You´re interested in a mission-driven impact (rethinking American manufacturing), while getting your hands dirty talking to users and building a product in an underserved industry. We’re looking for someone with an execution orientation, who can think holistically, and can have a strong impact on the trajectory of the company. About Us Copia Automation is rebuilding a 50-year old, $170-billion industrial market from the ground up by rethinking the command and control layer and developer tools that power process automation in almost every industrial vertical. Backed by some of the world’s most respected investors, we’re starting by creating a complete developer toolchain for industrial automation that will change how factories are built. See more at xa0copia.io. Why industrial automation? Today, manufacturing is powered by an ecosystem of computerized systems and robotics known as industrial automation. The ecosystem is programmed with a unique graphical language that can’t utilize tools such as GitLab or GitHub. Controls engineers are left to work with physical storage devices, incompatible tools, and/or expensive half-baked solutions. We are currently experiencing significant strain on the supply chain, and developer tools that will enable industrial systems to scale are fundamental to the growth of the global economy. You’ll be part of a team that enables engineers to realize their code through a collaborative and well-designed workflow. We’re looking for passionate individuals that will transform how everything is manufactured. What You’ll be Building You’ll be building a devops platform that enables controls engineers to remotely manage, test, and deploy code in industrial environments (think GitLab for automation). Ultimately, we are looking for strong generalists who can build out any part of the platform. Come join us! Copia is growing extraordinarily fast. Join a best-in-class start-up with huge amounts of upside and impact. Our headquarters is in New York, but our team is remote throughout North America. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to Senior, Engineer, Full Stack, Web Developer, Developer and Digital Nomad jobs that are similar: $60,000 — $115,000/year #Location New York City See more jobs at Copia Automation","['senior', 'engineer', 'full stack', 'web dev']",https://remoteok.com,REMOTEOK,60000,115000,87500.0,3,Year,1,FULLSTACK,full-time,True,True,True,conversational,1,ec33c6785826dd41b7143b908dbebde4
SOFTWARE ENGINEER FULL STACK,COPIA AUTOMATION,USAA,2022-02-28 15:00:10+00:00,https://remoteok.com/remote-jobs/109303-remote-software-engineer-full-stack-copia-automation,"Copia Automation is hiring a Remote Software Engineer Full Stack Who you are You´re interested in being one of the foundational members of our engineering team. You´re interested in a mission-driven impact (rethinking American manufacturing), while getting your hands dirty talking to users and building a product in an underserved industry. We’re looking for someone with an execution orientation, who can think holistically, and can have a strong impact on the trajectory of the company. About Us Copia Automation is rebuilding a 50-year old, $170-billion industrial market from the ground up by rethinking the command and control layer and developer tools that power process automation in almost every industrial vertical. Backed by some of the world’s most respected investors, we’re starting by creating a complete developer toolchain for industrial automation that will change how factories are built. See more at xa0copia.io. Why industrial automation? Today, manufacturing is powered by an ecosystem of computerized systems and robotics known as industrial automation. The ecosystem is programmed with a unique graphical language that can’t utilize tools such as GitLab or GitHub. Controls engineers are left to work with physical storage devices, incompatible tools, and/or expensive half-baked solutions. We are currently experiencing significant strain on the supply chain, and developer tools that will enable industrial systems to scale are fundamental to the growth of the global economy. You’ll be part of a team that enables engineers to realize their code through a collaborative and well-designed workflow. We’re looking for passionate individuals that will transform how everything is manufactured. What You’ll be Building You’ll be building a devops platform that enables controls engineers to remotely manage, test, and deploy code in industrial environments (think GitLab for automation). Ultimately, we are looking for strong generalists who can build out any part of the platform. Come join us! Copia is growing extraordinarily fast. Join a best-in-class start-up with huge amounts of upside and impact. Our headquarters is in New York, but our team is remote throughout North America. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to Senior, Engineer, Web Developer, Full Stack, Developer and Digital Nomad jobs that are similar: $60,000 — $115,000/year #Location New York City See more jobs at Copia Automation","['senior', 'engineer', 'web dev', 'full stack']",https://remoteok.com,REMOTEOK,60000,120000,90000.0,3,Year,4,FULLSTACK,full-time,True,True,True,conversational,1,a5357629133886b66ad871f8cc0615ad
SENIOR WEB DEVELOPER ENGINEER OPPORTUNITY,MAXMIND,USAA,2022-02-28 15:00:04+00:00,https://remoteok.com/remote-jobs/109302-remote-senior-web-developer-engineer-opportunity-maxmind,"MaxMind is hiring a Remote Senior Web Developer Engineer Opportunity MaxMind (www.maxmind.com) is looking for a talented, experienced, and highly motivated Senior Web Developer/Engineer to help us develop and improve our products. We help protect thousands of companies worldwide from fraud, screening over a billion online transactions each year, and we provide IP intelligence data to thousands more. As a Senior Web Developer/Engineer, you will play an important role in improving our existing websites and applications. xa0 This is a full time remote position, and we welcome candidates to apply from the following states CA, CO, FL, LA, MN, NV, NY (excluding New York City and Yonkers), NC, OR, PA, TX, WA, and anywhere in Canada. MaxMind does not currently sponsor US employment visas. For Canadian candidates, you must be eligible/authorized to work in Canada. The Position You will be responsible for developing websites and applications. This includes creating new web applications to help our clients better detect fraud while also working to improve our existing applications and websites. In doing this, you will work closely with our product team as well as other engineers. Our salary range for Senior Web Developer/Engineer roles begins at $135k USD or $165k CAD (in Canada). See more about benefits and compensation below. Our Development Practices We prefer Bootstrap and vanilla JS for most of our website work, but we selectively use TypeScript and React when we need to create web applications. We use Mojolicious on Perl for server side rendering. We also have REST APIs written in Go. We use PostgreSQL as our database. Our servers run Linux on Google Cloud Platform. We maintain high standards for our development practices. All new code is expected to include automated tests run by TeamCity, and all work goes through internal code review on GitHub Enterprise. Why work at MaxMind? In a recent survey, employees listed having a supportive work culture, good co-workers, autonomy, and feeling trusted, valued, and respected as some of the things they like most about working here. MaxMind has a social mission. MaxMind donates over 60% of profits to charities. xa0 MaxMind’s compensation strives to reward getting stuff done, quality of work, and working well with others. Our culture is very important to us. We’re friendly, collaborative, and work-focused. We don’t like office politics and unnecessary stress. We like to have productive workdays and don’t like work to chase us when we’re done for the day. We maintain a set of core, overlapping hours, but are flexible with specific start and end times and are understanding about appointments and life events. We care about helping each other succeed. Our engineering team works remotely so communication centers around video chat, group chat, and Agile planning tools. xa0 Normally, we hold an annual company summit one time per year in Waltham, MA. Benefits In addition to competitive compensation, our US benefits include medical, dental, vision, life, and short and long term disability insurance, a Safe Harbor 401(k) with employer contribution, Health Savings Account, Limited Purpose Flexible Spending Account, Dependent Care Account, paid parental leave, and public transit reimbursement. xa0 Our Canadian benefits include medical, dental, vision, life, accidental death and dismemberment, critical Illness, short and long term disability insurance, Employee and Family Assistance Program, and paid parental leave. You also have access to a group Retirement Savings Plan. In lieu of a Canadian RRSP contribution we provide a bonus payout at the end of each year that employees may decide to use toward retirement savings. Everyone participates in a company performance-based bonus plan. MaxMind offers a $2,000 professional development budget and five days for professional development annually. xa0 Diversity and Inclusion We´re committed to diversity and inclusion and are mindful of incorporating them into all aspects of our company. xa0 We encourage and sincerely welcome applications from candidates of color, women, queer candidates, candidates with family caregiving responsibilities, transgender candidates, and from other communities not well represented in the tech world. See our complete diversity and inclusion statement. Resumes without cover letters will not be considered. We want to know about you, please share any projects or accomplishments and include a link so we can learn more. xa0 One of the first steps in our interviewing process is a homework assignment, and we will ask you for a submission so we can gain insight into your work. ind123 #LI-Remote #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to Engineer, Developer, Web Developer, Senior and Digital Nomad jobs that are similar: $60,000 — $120,000/year #Location Remote See more jobs at MaxMind","['engineer', 'dev', 'web dev', 'senior']",https://remoteok.com,REMOTEOK,70000,120000,95000.0,3,Year,1,DEVELOPER,full-time,True,True,True,conversational,1,49431937c4a005feb0287289a7ddde66
SUPPORT ENGINEER,SERVERLESS,USAA,2022-02-28 15:00:02+00:00,https://remoteok.com/remote-jobs/109301-remote-support-engineer-serverless,"´Serverless is hiring a Remote Support Engineer About us xa0 We are Serverless Inc, creators of the Serverless Framework, a popular open-source development tool for building serverless applications. xa0 Our mission is to make harnessing the creative potential of serverless cloud infrastructure easy and fun through user-friendly developer tools. xa0 While adoption of the Serverless Framework has grown beyond our most extraordinary expectations, it’s still the beginning of the massive serverless technology trend. xa0 We believe serverless cloud infrastructure is the natural evolution of the cloud, and the future will provide developers with more serverless options than ever. xa0 We’re now scaling to improve the Framework and offer several new development experiences for developers and organizations. xa0 We are distributed by location but united in our purpose. xa0 We value product-minded technologists and fully own our successes and failures. Most importantly, we believe that people do their best work when empowered. If you are on a journey to find a team that crafts ingenious cutting-edge solutions while having fun together, we are your destination. xa0 As a Support Engineer, you will have the opportunity to work with your teammates and our customers to support many new, leading-edge technologies that solve real-world challenges. You will work to provide robust feedback and guidance to our Product and Engineering teams while being a voice for our customers, community, partners, and the broader Developer Experience (DX). You want to make our customers and partners successful while strengthening their relationship with Serverless. You can make a huge impact and have actual ownership of the work you do. Founded in 2016, Serverless Inc. is a Series B funded start-up, with a fully remote workforce since day one Attributes We Seek Motivated Motivated foremost about serverless and making it accessible to all through world-class development tools. Product-Driven Prioritizes the customer-facing experience above all else. Self-Starter Unafraid of ambiguity, identifies what matters most and delivers, without waiting or apprehension. Takes Ownership Owns the goals, and more importantly, their results. Over-Communicates Doesn’t expect communication to happen but ensures it, with emphasis on excellent written communication. Kindness Treats everyone inside and outside of our organization with dignity, and respects differences in perspectives, opinions, and experiences. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to Engineer and Engineer jobs that are similar: $70,000 — $120,000/year #Location North America, Central America, South America, Europe See more jobs at Serverless´",['engineer'],https://remoteok.com,REMOTEOK,60000,120000,90000.0,3,Year,4,CUSTOMER SUPPORT,full-time,True,True,True,conversational,1,317d9983beda55faae29c9e2199362b8
SENIOR SOFTWARE ENGINEER,HEALTHVERITY,"San Francisco, California",2022-02-28 14:00:06+00:00,https://remoteok.com/remote-jobs/109300-remote-senior-software-engineer-healthverity,"´HealthVerity Apply now 131 views 9 applied (7%) Share this job: Get a rok.co short link HealthVerity is hiring a Remote Senior Software Engineer How you will help You will support the engineering team and implement automation to fortify and expand our current technical processes. You will develop a strong technical understanding of the components of our system and work with internal resources to solve any challenges that may arise. What you will do • Design and develop software across our full product stack (React on the frontend, powered by a robust backend microservice architecture) • Contribute to our product direction by translating customer requirements into functional, scalable code, consulting with product and design resources to guide our engineering choices and workflow • Devise and implement improvements to our automated testing and deployment processes • Manage the operation and automation of production environments • Triage technical support requests as needed Desired skills and experience • 5+ years of experience making full stack contributions to production web applications xa0 xa0 • Strong development-tools fundamentals (git/GitHub, npm/yarn dependency management, etc.) • Proficient, working knowledge of AWS (bonus: Lambda/Serverless) • DevOps experience with complex, microservice-driven production systems • Comfortable with ES6 JavaScript / TypeScript About you • Motivated to automate processes efficiently and effectively • Understand best technical practices • Take initiative and always look for ways to grow your skill set About HealthVerity Pharmaceutical manufacturers, payers and government organizations have partnered with HealthVerity to solve some of their most complicated use cases through transformative technologies and real-world data infrastructure. The HealthVerity IPGE platform, based on the foundational elements of Identity, Privacy, Governance and Exchange, enables the discovery of RWD across the broadest healthcare data ecosystem, the building of more complete and accurate patient journeys and the ability to power best-in-class analytics and applications with flexibility and ease. Together with our partners, HealthVerity has built the modern way to data for the health insights economy. To learn more about the HealthVerity IPGE platform, visit www.healthverity.com. Our company challenges • Empowering clients with highly rewarding data discovery and licensing tools • Ingesting and managing billions of healthcare records from a wide variety of partners • Standardizing on common data models across data types • Orchestrating an industry-leading HIPAA privacy layer • Innovating our proprietary de-identification and data science algorithms • Building a culture that supports rapid iteration and new possibilities We have big plans The infrastructure and culture we are building will provide an environment that cultivates innovation. We want to move fast knowing we can fix anything we break along the way. If a new need arises, we want to turn around a solution quickly. We want to solve our challenges in ways that create even more possibilities. We’ve created a platform that will scale to support an ever-growing array of data providers and innovative products and services. You must be able to think big while still delivering on near-term requirements. We pride ourselves on ensuring that each team member at HealthVerity feels connected, validated and heard. From xa0Philadelphia to Manhattan Beach, our success is driven by recognizing that a team is made up of individuals. We offer a robust set of benefits and perks to everyone. View details on our careers page. HealthVerity is an equal opportunity employer devoted to inclusion in the workplace. We believe incorporating different ideas, perspectives and backgrounds make us stronger and encourages an environment where ageism, racism, sexism, ableism, homophobia, transphobia or any other form of discrimination are not tolerated. At HealthVerity, we’re working towards an innovative and connected future for healthcare data and believe the future is better together. We can only do that if everyone has a seat at the table. Read our Equity Inclusion and Diversity Statement. If you require a reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to email xa0protected HealthVerity offers in-office and remote options, so you can work from anywhere within the US! xa0#LI-Remote #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to DevOps, Engineer, Developer, Senior and Digital Nomad jobs that are similar: $60,000 — $120,000/year #Location Remote See more jobs at HealthVerity´","['devops', 'engineer', 'dev', 'senior']",https://remoteok.com,REMOTEOK,70000,120000,95000.0,3,Year,1,DEVELOPER,full-time,True,True,True,conversational,1,75034d7a165352fbc838faab0e018301
DEVOPS ENGINEER,HEALTHVERITY,"San Francisco, California",2022-02-28 14:00:04+00:00,https://remoteok.com/remote-jobs/109299-remote-devops-engineer-healthverity,"´HealthVerity Apply now 142 views 9 applied (6%) Share this job: Get a rok.co short link HealthVerity is hiring a Remote DevOps Engineer How you will help As a part of our DevOps team, working alongside our product and development teams, you will own and be responsible for architecting and implementing scalable solutions that offer our customers new insights on their own businesses. You’ll use the best tools for the job -whether modern and revolutionary or time tested and proven- to deliver elegant, scalable solutions that meet business and technical needs. Your team will support you and you the same. Peer review of solutions and implementations is expected. You will play an integral part in building the foundation of HealthVerity’s future. xa0 xa0 What you will do • Design, deployment and maintenance of multiple AWS environments • Automation of build, deployment and testing of internal tools, typically using python or shell • Troubleshooting and performance monitoring of applications, databases, data processing servers and associated storage systems • Network analysis and architecture design with a mind toward maintainability, scalability, and security in an AWS environment • Work with the engineering team to develop robust and scalable platforms and workflows for new analytics processes • Evaluate and integrate cloud services and tools • Develop, document, and implement migration plans for continuous improvement of existing products and services • xa0Automate log collection, storage, and analysis • xa0Implement and maintain organizational security policies About you • You make security a priority in everything you do • You are data-driven; testing and measuring every step • You are an expert at monitoring and measuring systems and identifying bottlenecks • You automate everything • You leverage concepts such as impermanence to build highly reliable infrastructure • You are comfortable using distributed version control like Git. • You are comfortable reading Linux shell scripts, Python, Go, Java, JavaScript, Perl or similar languages xa0 Desired skills and experience • Expert level Linux system administration skills • Experience supporting scalable applications on distributed architectures, storing large data sets and supporting analytics • Management and scaling of traditional RDBMS and/or NoSQL • Deployment of cloud based infrastructures such as AWS, Rackspace, Joyent, etc as well as on your own iron • Hands on experience with Chef or Puppet as well as containers such as Docker • Experience with large scale data management and processing systems such as Hadoop, Cassandra, Redis, Spark, Riak • 3+ years of IT and business/industry work experience • Added bonus: understanding of Healthcare IT standards such as HL7 HQMF, HL7 CDA-based standards, EMR and FHIR About HealthVerity Pharmaceutical manufacturers, payers and government organizations have partnered with HealthVerity to solve some of their most complicated use cases through transformative technologies and real-world data infrastructure. The HealthVerity IPGE platform, based on the foundational elements of Identity, Privacy, Governance and Exchange, enables the discovery of RWD across the broadest healthcare data ecosystem, the building of more complete and accurate patient journeys and the ability to power best-in-class analytics and applications with flexibility and ease. Together with our partners, HealthVerity has built the modern way to data for the health insights economy. To learn more about the HealthVerity IPGE platform, visit www.healthverity.com. Our company challenges • Empowering clients with highly rewarding data discovery and licensing tools • Ingesting and managing billions of healthcare records from a wide variety of partners • Standardizing on common data models across data types • Orchestrating an industry-leading HIPAA privacy layer • Innovating our proprietary de-identification and data science algorithms • Building a culture that supports rapid iteration and new possibilities We have big plans The infrastructure and culture we are building will provide an environment that cultivates innovation. We want to move fast knowing we can fix anything we break along the way. If a new need arises, we want to turn around a solution quickly. We want to solve our challenges in ways that create even more possibilities. We’ve created a platform that will scale to support an ever-growing array of data providers and innovative products and services. You must be able to think big while still delivering on near-term requirements. We pride ourselves on ensuring that each team member at HealthVerity feels connected, validated and heard. From xa0Philadelphia to Manhattan Beach, our success is driven by recognizing that a team is made up of individuals. We offer a robust set of benefits and perks to everyone. View details on our careers page. HealthVerity is an equal opportunity employer devoted to inclusion in the workplace. We believe incorporating different ideas, perspectives and backgrounds make us stronger and encourages an environment where ageism, racism, sexism, ableism, homophobia, transphobia or any other form of discrimination are not tolerated. At HealthVerity, we’re working towards an innovative and connected future for healthcare data and believe the future is better together. We can only do that if everyone has a seat at the table. Read our Equity Inclusion and Diversity Statement. If you require a reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to email xa0protected HealthVerity offers in-office and remote options, so you can work from anywhere within the US! xa0#LI-Remote #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to DevOps and Engineer jobs that are similar: $70,000 — $120,000/year #Location Remote See more jobs at HealthVerity´","['devops', 'engineer']",https://remoteok.com,REMOTEOK,60000,105000,82500.0,3,Year,4,DEVOPS,full-time,True,True,True,conversational,1,1650d8bf053b5883ab4a1b9d36722ce9
ILLUSTRATOR DESIGNER FOR ANIMATION,BIG HEALTH,"San Francisco, California",2022-02-28 12:00:07+00:00,https://remoteok.com/remote-jobs/109297-remote-illustrator-designer-for-animation-big-health,"´Big Health Apply now 150 views 19 applied (13%) Share this job: Get a rok.co short link Big Health is hiring a Remote Illustrator Designer for Animation At Big Health, we believe that compelling storytelling can change the world. We are transforming mental health care with our award-winning, clinically-proven digital health programs. xa0 Our flagship product, Sleepio, features “The Prof” and his narcoleptic dog who help you learn life-changing techniques to take control of your sleep. It has helped people all over the world resolve their chronic sleep problems. xa0 Our newest app, Daylight, gives people bite-sized techniques to manage their worry and anxiety, and was developed in collaboration with movie directors and podcast producers. In our latest scientific publication, 71% of people remitted from clinical levels of generalized anxiety disorder after using our app! Big Health is looking for an exceptional, experienced Illustrator for Animation to translate the best science-based mental health therapies into accessible and engaging content. Through radical collaboration with our clinical team, designers, and animators, you will craft impactful stories to help people reframe their mental health challenges, and learn the most effective techniques to manage better. xa0 Come join our growing creative team and use the best of storytelling to help millions of people back to good mental health. Because we are on a mission to bring millions back to good mental health, we believe it’s essential to reflect the diversity of those we intend to serve. We’re an equal opportunity employer dedicated to building a culturally and experientially diverse team that leads with empathy and respect. Additionally, we will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. Big Health participates in E-Verify and will provide the federal government with Form I-9 information from all new employees to confirm that they are authorized to work in the U.S. Big Health does not use E-Verify to pre-screen applicants. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to DevOps, Engineer, Backend, Front End, Customer Support, Executive, Video and Illustrator jobs that are similar: $60,000 — $105,000/year #Location Remote - US See more jobs at Big Health´","['devops', 'engineer', 'backend', 'front end']",https://remoteok.com,REMOTEOK,65000,110000,87500.0,3,Year,4,-,full-time,True,True,True,conversational,1,02af5eb002c0b62ba619ff373af18d06
CUSTOMER SUCCESS MANAGER,BIG HEALTH,"San Francisco, California",2022-02-28 12:00:06+00:00,https://remoteok.com/remote-jobs/109296-remote-customer-success-manager-big-health,"´Big Health Apply now 193 views 34 applied (18%) Share this job: Get a rok.co short link Big Health is hiring a Remote Customer Success Manager At Big Health, our mission is to help millions back to good mental health. xa0Today, over 10 million people worldwide have access to Big Health’s products, via leading employers in the US (including Boston Medical, The Hartford, Google, and Home Depot ) and the UK’s NHS. xa0Our digital therapeutics - Daylight™ for worry and anxiety - and Sleepio™ for poor sleep - are fully automated cognitive and behavioral programs that are as scalable and clinically validated as drugs (including being backed by 50 published clinical papers including 13 randomized controlled trials). xa0 xa0Our software combines the intimacy of the human voice, engaging animation, and clinically rigorous techniques to help people overcome their mental health challenges. xa0 Big Health is a remote-first company - we are headquartered in San Francisco and have a distributed team across the US and the UK. This role can be based anywhere in the US. Prior to Covid, our team traveled up to 25% but that will be under consideration in 2022. Join us! To learn more about working at Big Health, please go to xa0Built In xa0and xa0Glassdoor. Because we are on a mission to bring millions back to good mental health, we believe it’s essential to reflect the diversity of those we intend to serve. We’re an equal opportunity employer dedicated to building a culturally and experientially diverse team that leads with empathy and respect. Additionally, we will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. Big Health participates in E-Verify and will provide the federal government with Form I-9 information from all new employees to confirm that they are authorized to work in the U.S. Big Health does not use E-Verify to pre-screen applicants. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to DevOps, Engineer, Backend, Front End, Customer Support and Executive jobs that are similar: $65,000 — $110,000/year #Location Remote - US See more jobs at Big Health´","['devops', 'engineer', 'backend', 'front end']",https://remoteok.com,REMOTEOK,60000,115000,87500.0,3,Year,4,MANAGER,full-time,True,True,True,conversational,1,abf1b2c4ff049990f1d57e83b2dddc93
BACKEND SOFTWARE ENGINEER,BIG HEALTH,"Brisbane, California, United States",2022-02-28 12:00:04+00:00,https://remoteok.com/remote-jobs/109295-remote-backend-software-engineer-big-health,"´Big Health Apply now 162 views 18 applied (11%) Share this job: Get a rok.co short link Big Health is hiring a Remote Backend Software Engineer At Big Health, our purpose is to help millions back to good mental health. We do this through our digital therapeutics: Daylight™ for worry and anxiety, and Sleepio™, for poor sleep. These fully automated cognitive and behavioral programs are as scalable and clinically validated as drugs. And our software combines the intimacy of the human voice, engaging animation, and clinically rigorous techniques to engage people anytime and anywhere and ultimately help them overcome their mental health challenges. Today, over 10 million people worldwide have access to Big Health’s products, via leading employers in the US (including Boston Medical, The Hartford, Google, and Home Depot ) and the UK’s NHS. As a Backend Software Engineer at Big Health, you will be a critical member of our Engineering team and develop components for the next generation of digital therapies platform. You will have the opportunity to influence technology decisions and user experience as we optimize the product and scale our digital therapy platform. This is an outstanding opportunity to scale an enterprise-grade platform while having a meaningful impact on the lives of individuals. Join us and bring your unique talents to do great things! This role can be remote anywhere in the US. To learn more go to Built In and Glassdoor. Because we are on a mission to bring millions back to good mental health, we believe it’s essential to reflect the diversity of those we intend to serve. We’re an equal opportunity employer dedicated to building a culturally and experientially diverse team that leads with empathy and respect. Additionally, we will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. Big Health participates in E-Verify and will provide the federal government with Form I-9 information from all new employees to confirm that they are authorized to work in the U.S. Big Health does not use E-Verify to pre-screen applicants. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to DevOps, Engineer, Front End, Developer, Backend and Digital Nomad jobs that are similar: $60,000 — $115,000/year #Location Remote - US See more jobs at Big Health´","['devops', 'engineer', 'front end', 'dev']",https://remoteok.com,REMOTEOK,70000,120000,95000.0,3,Year,4,BACKEND,full-time,True,True,True,conversational,1,e1b24e99775340895bc54719fc28ade3
DEVOPS ENGINEER,BIG HEALTH,Virtual,2022-02-28 12:00:03+00:00,https://remoteok.com/remote-jobs/109294-remote-devops-engineer-big-health,"´Big Health Apply now 109 views 5 applied (5%) Share this job: Get a rok.co short link Big Health is hiring a Remote DevOps Engineer At Big Health, our purpose is to help millions back to good mental health. We do this through our digital therapeutics: Daylight™ for worry and anxiety, and Sleepio™, for poor sleep. These fully automated cognitive and behavioral programs are as scalable and clinically validated as drugs. Our software combines the intimacy of the human voice, engaging animation, and clinically rigorous techniques to engage people anytime and anywhere and ultimately help them overcome their mental health challenges. Today, over 10 million people worldwide have access to Big Health’s products, via leading employers in the US (including Boston Medical, The Hartford, Google, and Home Depot ) and the UK’s NHS. We are looking for DevOps Engineer who strives to build infrastructure that requires minimal human interaction. You will be working closely with other DevOps engineers on a fully distributed team to help expand our existing observability tooling, automation pipelines, and AWS infrastructure. xa0 This is a great opportunity for a motivated engineer to build resilient and self healing infrastructure. xa0 Join us and bring your unique talents to do great things! This role can be remote anywhere in the US. To learn more go to Built In and Glassdoor. Because we are on a mission to bring millions back to good mental health, we believe it’s essential to reflect the diversity of those we intend to serve. We’re an equal opportunity employer dedicated to building a culturally and experientially diverse team that leads with empathy and respect. Additionally, we will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. Big Health participates in E-Verify and will provide the federal government with Form I-9 information from all new employees to confirm that they are authorized to work in the U.S. Big Health does not use E-Verify to pre-screen applicants. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to Engineer, Front End and DevOps jobs that are similar: $70,000 — $120,000/year #Location Remote - US See more jobs at Big Health´","['engineer', 'front end', 'devops']",https://remoteok.com,REMOTEOK,60000,115000,87500.0,3,Year,4,DEVOPS,full-time,True,True,True,conversational,1,c707f0e1da43e0e20641c29efdda176b
FRONT END SOFTWARE ENGINEER,BIG HEALTH,USAA,2022-02-28 12:00:02+00:00,https://remoteok.com/remote-jobs/109293-remote-frontend-software-engineer-big-health,"´Big Health Apply now 174 views 25 applied (14%) Share this job: Get a rok.co short link Big Health is hiring a Remote Front End Software Engineer At Big Health, our purpose is to help millions back to good mental health. We do this through our digital therapeutics: Daylight™ for worry and anxiety, and Sleepio™, for poor sleep. These fully automated cognitive and behavioral programs are as scalable and clinically validated as drugs. And our software combines the intimacy of the human voice, engaging animation, and clinically rigorous techniques to engage people anytime and anywhere and ultimately help them overcome their mental health challenges. Today, over 10 million people worldwide have access to Big Health’s products, via leading employers in the US (including Boston Medical, The Hartford, Google, and Home Depot ) and the UK’s NHS. As a Frontend xa0Software Engineer at Big Health, you will be a critical member of our Engineering team and develop components for the next generation of digital therapies platform. You will have the opportunity to influence technology decisions and user experience as we optimize the product and scale our digital therapy platform. This is an outstanding opportunity to scale an enterprise-grade platform while having a meaningful impact on the lives of individuals. Join us and bring your unique talents to do great things! This role can be remote anywhere in the US. To learn more go to Built In and Glassdoor. Because we are on a mission to bring millions back to good mental health, we believe it’s essential to reflect the diversity of those we intend to serve. We’re an equal opportunity employer dedicated to building a culturally and experientially diverse team that leads with empathy and respect. Additionally, we will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. Big Health participates in E-Verify and will provide the federal government with Form I-9 information from all new employees to confirm that they are authorized to work in the U.S. Big Health does not use E-Verify to pre-screen applicants. #Salary and compensation No salary data published by company so we estimated salary based on similar jobs related to Front End, Developer, Engineer and Digital Nomad jobs that are similar: $60,000 — $115,000/year #Location Remote - US See more jobs at Big Health´","['front end', 'dev', 'engineer']",https://remoteok.com,REMOTEOK,65000,110000,87500.0,3,Year,4,FRONTEND,full-time,True,True,True,conversational,1,b3bb595ae2e03613d13747618d17343b
